restaurant_name,rating,area,restaurant_type,price_range,url
Chinese Station,4.0,"Gomti Nagar, Lucknow","Chinese, Fast Food, Sichuan",₹300 for two,https://www.zomato.com/lucknow/chinese-station-gomti-nagar/info
Walnut,4.3,"Hazratganj, Lucknow","Bakery, Desserts",₹500 for two,https://www.zomato.com/lucknow/walnut-hazratganj/info
Wat-A-Burger - India Ka Burger,4.1,"Gomti Nagar, Lucknow","Burger, Fast Food, Beverages, Desserts, Sandwich",₹300 for two,https://www.zomato.com/lucknow/wat-a-burger-india-ka-burger-gomti-nagar/info
Sign In Cafe,4.2,"Aliganj, Lucknow","North Indian, Chinese, Fast Food, Continental, Beverages, Desserts, Sichuan",₹600 for two,https://www.zomato.com/lucknow/sign-in-cafe-1-aliganj/info
Theka - The Piccadily,4.0,"The Piccadily Lucknow, Alambagh, Lucknow",Finger Food,"₹2,700 for two",https://www.zomato.com/lucknow/theka-piccadily-alambagh/info
Shri Kachodi Corner,4.0,"Chowk, Lucknow","Street Food, North Indian",₹100 for two,https://www.zomato.com/lucknow/shri-kachodi-corner-chowk/info
Cafe WTF,4.1,"Indira Nagar, Lucknow","Cafe, Pizza, Fast Food, Desserts, Beverages, Shake",₹800 for two,https://www.zomato.com/lucknow/cafe-wtf-1-indira-nagar/info
1936 - Lebua Lucknow,4.1,"lebua Lucknow, Lucknow",Italian,"₹2,000 for two",https://www.zomato.com/lucknow/1936-lebua-lucknow-hazratganj/info
Raj & Raj,4.0,"Aashiana, Lucknow","Chinese, Street Food, North Indian, South Indian, Fast Food",₹350 for two,https://www.zomato.com/lucknow/raj-raj-aashiana/info
Mashi Biryani World,4.1,"Lalbagh, Lucknow","Biryani, North Indian",₹350 for two,https://www.zomato.com/lucknow/mashi-biryani-world-lalbagh/info
